,trending_date,category,Unnamed: 0,views,likes,dislikes,comment_count,video_error_or_removed,trend_count
69,2017-12-01,News & Politics,1041698622,1100352246,15540649,4240399,4680295,0,5325
70,2018-01-01,News & Politics,1068560360,1192223843,20186670,3763084,5923121,10,5454
71,2018-02-01,News & Politics,1022829594,1539655064,34712369,4083369,7325668,3,5037
72,2018-03-01,News & Politics,1284306097,1577473635,22724632,6110593,8349559,0,5666
73,2018-04-01,News & Politics,1009308436,1320050446,16840930,3380769,5115943,0,4603
74,2018-05-01,News & Politics,1271575698,2431099425,34465169,4729819,8592387,0,5720
75,2018-06-01,News & Politics,538490032,785181157,12070111,1388235,3383620,0,2352
76,2017-11-01,Nonprofits & Activism,40835,1456,0,0,0,0,1
77,2017-12-01,Nonprofits & Activism,530946,152739,8382,187,1507,0,13
78,2018-01-01,Nonprofits & Activism,653704,133570568,12288453,2741837,4052640,0,16
79,2018-02-01,Nonprofits & Activism,735723,32489470,2428360,567039,749288,0,18
80,2018-05-01,Nonprofits & Activism,204425,1429679,47797,694,2922,0,5
81,2018-06-01,Nonprofits & Activism,163558,1297480,42654,624,2440,0,4
82,2017-11-01,People & Blogs,959982325,1055709206,34967822,5009433,5589459,0,4470
83,2017-12-01,People & Blogs,1754058834,2864113667,107802957,14290251,17448086,0,8247
84,2018-01-01,People & Blogs,1713487556,2402580087,88125683,7785659,12508435,3,7791
85,2018-02-01,People & Blogs,1777188767,5284266609,96959797,5914553,12918967,4,8071
86,2018-03-01,People & Blogs,1888476897,3698713957,79673063,5596980,9400629,0,8627
87,2018-04-01,People & Blogs,1492585419,2748256017,80125272,4803549,12739877,0,6863
88,2018-05-01,People & Blogs,1575636806,3548456521,112449036,6584394,16069798,0,7136
89,2018-06-01,People & Blogs,611010215,1998269345,92447331,6649184,14214207,0,2847
90,2017-11-01,Pets & Animals,47125912,107510577,4649479,79560,768036,0,262
91,2017-12-01,Pets & Animals,83522263,195777143,6857751,131544,1311350,0,474
92,2018-01-01,Pets & Animals,107226037,256331835,7932394,186627,1154098,0,622
93,2018-02-01,Pets & Animals,169785354,305991645,9118212,193771,1225378,1,854
94,2018-03-01,Pets & Animals,158455446,236255629,6729520,229881,973264,0,776
95,2018-04-01,Pets & Animals,122540537,221062005,4279621,180497,571324,0,571
96,2018-05-01,Pets & Animals,190562799,411724675,11377465,303736,1340040,0,874
97,2018-06-01,Pets & Animals,93727629,273820722,5657050,198150,760188,0,430
98,2017-11-01,Science & Technology,139309954,984260566,27100642,1606658,5337189,0,917
99,2017-12-01,Science & Technology,181033923,626843074,27041431,1070167,4584543,1,1121
100,2018-01-01,Science & Technology,140668664,438921778,20452365,770570,3093389,1,988
101,2018-02-01,Science & Technology,204107670,1924110848,52294290,1749259,9247984,1,1359
102,2018-03-01,Science & Technology,180085627,1565867217,33236853,2349973,4053213,0,1272
103,2018-04-01,Science & Technology,117330045,566617582,17934120,854642,3015701,0,820
104,2018-05-01,Science & Technology,191735229,2475815854,57913676,2840255,13965669,0,1253
105,2018-06-01,Science & Technology,71762056,612278232,16597544,977050,4047055,0,441
106,2017-11-01,Shows,29515939,40186151,394916,55375,72734,0,123
107,2017-12-01,Shows,30465406,59333824,406107,107725,85292,0,150
108,2018-01-01,Shows,19419703,51165146,288539,140093,79852,0,99
109,2018-02-01,Shows,22263339,33261719,174396,93760,41112,0,87
110,2018-03-01,Shows,21622644,24384228,202682,29395,31976,0,80
111,2018-04-01,Shows,22956707,43422548,807969,38141,73896,0,100
112,2018-05-01,Shows,47634741,126840871,1348492,142737,144571,0,235
113,2018-06-01,Shows,21063181,65470069,947726,75279,111932,0,100
114,2017-11-01,Sports,371621340,911824142,18929094,615963,2015628,0,2000
115,2017-12-01,Sports,575311901,1706281737,36573493,1286848,3830582,1,3052
116,2018-01-01,Sports,617168888,2075787330,47080094,1406894,4885028,2,3310
117,2018-02-01,Sports,698359749,3146920318,55948232,7573226,8075391,2,3605
118,2018-03-01,Sports,665265587,4272014917,111970706,9665193,12551618,0,3538
119,2018-04-01,Sports,576268164,2698765075,52207031,2227717,5236774,0,3014
120,2018-05-01,Sports,668044233,2828740758,52495477,2724965,7255706,0,3440
121,2018-06-01,Sports,356950068,1332090887,24426616,1035219,3147382,0,1725
122,2018-02-01,Trailers,587611,33299,6,0,2,0,2
123,2018-03-01,Trailers,122337,8804,0,0,0,0,1
124,2018-05-01,Trailers,325897,12940,192,9,0,0,2
125,2017-11-01,Travel & Events,27039260,58850138,869437,48298,123290,0,146
126,2017-12-01,Travel & Events,41006313,64522531,1490514,162860,334026,0,266
127,2018-01-01,Travel & Events,53629625,46460032,1622680,79922,257103,0,286
128,2018-02-01,Travel & Events,44518324,274971867,1837798,84493,306192,0,273
129,2018-03-01,Travel & Events,51354395,113584954,3701545,149350,575478,0,309
130,2018-04-01,Travel & Events,33270390,84874415,1437184,100450,267065,0,207
131,2018-05-01,Travel & Events,36505985,50290693,1479855,71521,212321,0,193
132,2018-06-01,Travel & Events,16398634,33120329,1055066,43068,165278,0,96
